,C1,L1,P2,L2,1C1,1L1,1P2,1L2,2C1,2L1,2P2,2L2,3C1,3L1,3P2,3L2,MW,1MW,L12,1L12,2L12,3L12,L1M,L2M,GF,1GF,2GF
273,21763273.13,114366763.1,21763279.47,89116967.48,2182.633,11469.534,2182.535,8937.293,2.243000004,12.23999999,2.151999999,9.544,-0.622999992,0.381999999,-0.156000003,0.319000006,-5.109248001,-0.037848849,25249795.62,2532.21,2.659999996,-0.010000005,21763271.4,21763273.65,-2.251681607,-0.00421818,-0.008182626
274,21765457.14,114378244.5,21765464.29,89125914.03,2184.016,11481.406,2184.816,8946.55,1.382999998,11.87200001,2.280999999,9.256999999,-0.860000007,-0.367999986,0.129000001,-0.287,-4.564061914,0.545186087,25252330.47,2534.85,2.640000015,-0.019999981,21765456.23,21765458.49,-2.252791651,-0.001110043,0.003108136
275,21767645.15,114389737.6,21767651.45,89134869.67,2188.007,11493.064,2187.16,8955.631,3.991,11.65800001,2.344000001,9.081000015,2.608000003,-0.214000002,0.063000001,-0.175999984,-5.206173602,-0.642111688,25254867.93,2537.46,2.609999985,-0.030000031,21767643.3,21767645.55,-2.247336563,0.005455088,0.006565131
276,21769833.72,114401242.5,21769840.72,89143834.5,2188.571,11504.881,2189.27,8964.83,0.564000003,11.81699999,2.109999999,9.198999986,-3.426999997,0.158999979,-0.234000001,0.117999971,-4.675614271,0.530559331,25257408,2540.07,2.610000014,2.98E-08,21769832.61,21769834.85,-2.240707997,0.006628565,0.001173478
277,21772025.1,114412758.9,21772032.03,89152808.3,2191.383,11516.399,2191.308,8973.804,2.811999999,11.51799999,2.037999999,8.973999992,2.247999996,-0.298999995,-0.072000001,-0.224999994,-4.483955953,0.191658318,25259950.6,2542.6,2.530000001,-0.080000013,21772024.11,21772026.34,-2.236267813,0.004440185,-0.002188381
278,21774219.02,114424287.1,21774225.73,89161791.33,2193.914,11528.225,2193.707,8983.026,2.530999996,11.82600002,2.399000004,9.222000018,-0.281000003,0.308000028,0.361000005,0.248000026,-4.592990384,-0.109034431,25262495.77,2545.17,2.569999978,0.039999977,21774217.85,21774220.09,-2.240422562,-0.004154749,-0.008594934
279,21776415.02,114435827.2,21776421.7,89170783.61,2196.007,11540.104,2195.969,8992.284,2.093000002,11.87899999,2.261999998,9.257999986,-0.437999994,0.052999973,-0.137000006,0.035999969,-4.561791833,0.031198551,25265043.59,2547.82,2.650000021,0.080000043,21776413.86,21776416.1,-2.239027072,0.00139549,0.005550239
280,21778613.58,114447379.1,21778619.62,89179785.14,2198.555,11551.956,2197.914,9001.527,2.548000004,11.852,1.944999997,9.243000016,0.455000002,-0.026999995,-0.317000002,-0.014999971,-4.640746038,-0.078954205,25267593.96,2550.37,2.549999982,-0.100000039,21778612.11,21778614.36,-2.251110718,-0.012083646,-0.013479136
281,21780813.84,114458942.8,21780820.43,89188795.78,2200.258,11563.665,2200.809,9010.639,1.702999994,11.70899999,2.895000003,9.111999989,-0.84500001,-0.143000007,0.950000007,-0.131000027,-4.606729623,0.034016415,25270147.02,2553.06,2.690000013,0.14000003,21780812.61,21780814.85,-2.242484074,0.008626644,0.020710289
282,21783017.21,114470518.2,21783022.93,89197815.58,2203.375,11575.414,2202.504,9019.804,3.117000002,11.74900001,1.695,9.164999992,1.414000008,0.040000021,-1.200000003,0.053000003,-4.919384412,-0.312654789,25272702.62,2555.6,2.540000007,-0.150000006,21783015.34,21783017.58,-2.244387012,-0.001902938,-0.010529581
283,21785221.63,114482105.3,21785228.16,89206844.42,2204.422,11587.03,2205.23,9028.845,1.047000002,11.616,2.726,9.041000009,-2.07,-0.133000016,1.030999999,-0.123999983,-4.64392538,0.275459032,25275260.88,2558.26,2.659999982,0.119999975,21785220.29,21785222.51,-2.227514304,0.016872708,0.018775646
284,21787428.59,114493704.3,21787435.43,89215882.66,2206.953,11599.084,2207.27,9038.236,2.530999996,12.05399999,2.039999999,9.391000003,1.483999994,0.437999994,-0.686000001,0.349999994,-4.56131034,0.08261504,25277821.64,2560.76,2.500000015,-0.159999967,21787427.5,21787429.75,-2.2417229,-0.014208596,-0.031081304
285,21789638.22,114505315,21789645.15,89224929.94,2209.633,11610.676,2209.718,9047.276,2.680000003,11.59200002,2.447999999,9.040000007,0.149000008,-0.461999968,0.408,-0.350999996,-4.80464457,-0.24333423,25280385.06,2563.42,2.659999996,0.159999982,21789636.95,21789639.18,-2.237155847,0.004567053,0.018775649
286,21791849.9,114516937.3,21791856.75,89233986.27,2211.679,11622.309,2211.606,9056.332,2.045999996,11.63299999,1.888000004,9.055999994,-0.634000007,0.040999964,-0.559999995,0.015999988,-4.79000967,0.0146349,25282951.03,2565.97,2.549999997,-0.109999999,21791848.6,21791850.83,-2.23528463,0.001871217,-0.002695836
287,21794063.7,114528571.4,21794070.82,89243051.81,2213.797,11634.11,2214.07,9065.541,2.118000004,11.801,2.463999998,9.208999991,0.072000008,0.168000013,0.575999994,0.152999997,-4.822852153,-0.032842483,25285519.59,2568.56,2.590000004,0.040000007,21794062.49,21794064.73,-2.237124134,-0.001839504,-0.003710721
288,21796280.14,114540217.3,21796286.79,89252126.48,2216.446,11645.839,2215.969,9074.671,2.648999996,11.72899999,1.899,9.13000001,0.530999992,-0.072000012,-0.564999998,-0.078999981,-4.87260548,-0.049753327,25288090.82,2571.23,2.669999987,0.079999983,21796278.63,21796280.86,-2.22313755,0.013986584,0.015826087
289,21798498.39,114551874.6,21798504.86,89261210.14,2218.25,11657.371,2218.066,9083.659,1.804000001,11.53200002,2.096999999,8.987999991,-0.844999995,-0.196999967,0.197999999,-0.14200002,-4.759685148,0.112920332,25290664.46,2573.64,2.410000011,-0.259999976,21798496.94,21798499.18,-2.235252913,-0.012115363,-0.026101947
